id_nws, gtype_nws, river, local, lat_cnrfc, lon_cnrfc, gelev_ft_cnrfc, rfc_pnt_type,offname_cnrfc
AQCC1, G, Aqua Chinon Wash          , Irvine                      ,33.67889,-117.71333,440, River Other,
ACWC1, G, Arcade Creek              , Del Paso Heights            ,38.64167,-121.38277,62, River Other,
AEMC1, R, Arcade Creek              , East Main Drain             ,38.61945,-121.46694,35, River Other,
AGBC1, R, Arcade Creek              , Greenback Lane              ,38.68111,-121.32667,110, River Other,
AMRC1, R, Arcade Creek              , Winding Way                 ,38.64528,-121.3475,78, River Other,
APSC1, R, Arcade Creek              , Pasadena Avenue             ,38.64369,-121.35708,73, River Other,
MYBC1, R, Arcade Creek              , Marysville Blvd             ,38.6275,-121.43278,32, River Other,
SRBC1, R, Arcade Creek              , Sunrise Blvd                ,38.68389,-121.27167,150, River Other,
ARAC1, R, Arcadia Wash              , Grand                       ,34.09583,-118.03722,350, River Other,
MAWA3, R, Archibald Wash            , Dolan Springs               ,35.7,-114.17194,3175, River Other,
AMWC1, G, Army Weir                 , Armona 6NW                  ,36.38611,-119.78806,230, River Other,
ACMC1, R, Arroyo Corte Madera       , Mill Valley                 ,37.89834,-122.535,2, River Other,
ADLC1, G, Arroyo De La Laguna       , Verona                      ,37.62667,-121.88194,280, River Other, Arroyo De La Laguna - Ve
LKZC1, R, Arroyo Grande Creek       , Lake Lopez                  ,35.18667,-120.48473,560, Reservoir Reservoir,
AGGC1, R, Arroyo Grande Creek       , 22nd Street Bridge          ,35.0955,-120.6072,27, River Other,
AGHC1, R, Arroyo Grande Creek       , Cecchetti                   ,35.1486,-120.5308,233, River Other,
AGMC1, R, Arroyo Grande Creek       , Myrtle Street               ,35.1244,-120.568,127, River Other,
ALGC1, R, Arroyo Grande Creek       , Lagoon                      ,35.1002,-120.6283,10, River Other,
RGZC1, R, Arroyo Grande Creek       , Rodriguez Bridge            ,35.1852,-120.4997,364, River Other,
CVQC1, G, Arroyo Hondo              , Calaveras Reservoir         ,37.4925,-121.81973,775, Reservoir Reservoir,
AHOC1, G, Arroyo Hondo              , San Jose                    ,37.46167,-121.76833,784, River Other, Arroyo Hondo - San Jose  
AYOC1, R, Arroyo Las Posas          , Camarillo - Hitch Blvd      ,34.27181,-118.9225,400, River Other,
KRGC1, G, Arroyo Pasajero           , Gale Avenue                 ,36.18306,-120.05806,240, River Other,
DVLC1, R, Arroyo Seco               , Devils Gate Reservoir       ,34.18556,-118.17444,1060, Reservoir Reservoir,
ARRC1, G, Arroyo Seco               , Greenfield                  ,36.2375,-121.48056,805, River Other,
ASPC1, G, Arroyo Seco               , Pasadena                    ,34.22222,-118.17667,1398, River Other,
DVLC1, R, Arroyo Seco               , Devils Gate                 ,34.18556,-118.17444,1060, River Other,
GRFC1, G, Arroyo Seco               , Below Reliz Creek           ,36.39972,-121.32306,168, River Other,
SOLC1, G, Arroyo Seco               , Soledad                     ,36.28056,-121.32167,339, River Other,
ASJC1, R, Arroyo Simi               , Royal Avenue                ,34.26583,-118.73556,875, River Other,
ASNC1, R, Arroyo Simi               , Madera Road                 ,34.27806,-118.79528,699, River Other,
ASWC1, R, Arroyo Simi               , Stow Road                   ,34.2685,-118.6855,988, River Other,
ARTC1, R, Arroyo Tapo               , Simi Valley                 ,34.29694,-118.73028,1500, River Other,
ARYC1, G, Arroyo Trabuco            , San Juan Capistrano         ,33.49833,-117.665,80, River Other,
DVAC1, G, Arroyo Valle              , Del Valle Reservoir         ,37.61389,-121.745,703, Reservoir Reservoir,
LVKC1, G, Arroyo Valle              , Livermore                   ,37.62333,-121.75778,510, River Other, Arroyo Valle - Livermore
YLEC1, G, Arroyo Valle              , Lang Canyon                 ,37.56139,-121.68278,750, River Other, 
ADBC1, R, Arundell Barranca         , East Harbor Blvd            ,34.25333,-119.25806,18, River Other,
ACLN2, G, Ash Canyon Creek          , Carson City                 ,39.17639,-119.80472,5080, River Other,
ASCN2, G, Ash Springs Creek         , Highway 93                  ,37.46028,-115.19361,3691, River Other,
ADDN2, G, Ash Springs Diversion     , Ash Springs                 ,37.45972,-115.19417,3610, River Other,
ATDC1, G, Atascadero Creek          , Goleta                      ,34.42472,-119.81083,20, River Other,
BLNC1, G, Ballona Creek             , Sawtelle Blvd               ,33.99833,-118.40222,31, River Other,
BAKC1, R, Barron Creek              , Middlefield Road            ,37.43306,-122.12028,15, River Other,
COTC1, G, Battle Creek              , Cottonwood                  ,40.39833,-122.14528,415, River Other,
BTSC1, G, Bautista Creek            , Valle Vista                 ,33.76222,-116.90833,1680, River Other,
AASC1, G, Bear Canyon Creek         , Anderson Springs Road       ,38.77528,-122.68861,1380, River Other,
MEEC1, G, Bear Creek                , McKee Road                  ,37.30889,-120.44389,187, River Forecast,
BCKC1, G, Bear Creek                , Bear Reservoir              ,37.36694,-120.21694,319, Reservoir Reservoir,
BEBC1, G, Bear Creek                , Below Bear Dam - Planada    ,37.35806,-120.23528,331, River Other,
BKJC1, G, Bear Creek                , Stevinson                   ,37.25472,-120.71944,89, River Other,
BRCC1, R, Bear Creek                , Alpine Road - Lodi          ,38.07417,-121.21111,59, River Other,
HCHC1, G, Bear Creek                , Holsten Chimney Canyon      ,38.95556,-122.34167,920, River Other,
SHJC1, R, Bear Creek                , Sand Hill Road              ,37.41,-122.24167,277, River Other,
BRWC1, G, Bear River                , Wheatland                   ,39,-121.40556,72, River Forecast,
CFWC1, Z, Bear River                , Camp Far West               ,39.05028,-121.31472,260, Reservoir Reservoir,
CMBC1, G, Bear River                , Lake Combie                 ,39.00972,-121.05833,1610, Reservoir Reservoir,
RLLC1, G, Bear River                , Rollins Lake                ,39.13556,-120.94917,2176, Reservoir Reservoir,
ROLC1, G, Bear River                , Rollins Lake                ,39.13556,-120.94917,2176, Reservoir Reservoir,
BBOC1, G, Bear River                , Chicago Park                ,39.13139,-120.95805,1950, River Other,
BPGC1, G, Bear River                , Pleasant Grove              ,38.98333,-121.48806,75, River Other,
DFAC1, G, Bear River                , Below Dutch Flat Afterbay   ,39.21417,-120.84639,2700, River Other, 
DUTC1, G, Bear River                , Dutch Flat Afterbay         ,39.21528,-120.83972,2740, River Other,
YBVC1, G, Bear River Canal          , Near Colfax - YB50          ,39.13278,-120.95445,1950, River Other,
BDHC1, R, Beardsley Wash            , Central Avenue              ,34.2305,-119.11111,80, River Other,
BVRN2, G, Beaver Creek              , Above North Fork Humboldt R ,41.32972,-115.57195,5743, River Other,
BDWA3, R, Beaver Dam Wash           , County Road 91              ,36.90194,-113.93333,1863, River Other,
ICMU1, R, Beaver Dam Wash           , Indian Canyon               ,37.09167,-114.02528,2584, River Other,
MLLA3, R, Beaver Dam Wash           , Mormon Well                 ,36.97389,-113.98389,2080, River Other,
OCRC1, R, Belmont Creek             , Harbor Blvd - Old Country Rd,37.51722,-122.27084,24, River Other, 
BCBN2, R, Beltway Channel           , S Buffalo Drive             ,36.06611,-115.25417,2520, River Other,
BWCN2, R, Beltway Channel           , Cheyenne Avenue             ,36.22583,-115.32611,2814, River Other,
BWPN2, R, Beltway Channel           , Ft Apache Road - Peace Way  ,36.10722,-115.29694,2625, River Other,
BWTN2, R, Beltway Channel           , Town Center Drive           ,36.12,-115.32417,2800, River Other,
BYSC1, G, Berryessa Creek           , Above Calaveras Boulevard   ,37.43333,-121.8925,30, River Other, 
XBCC1, G, Berryessa Creek           , Cropley Avenue              ,37.41639,-121.85556,190, River Other,
AUSC1, G, Big Austin Creek          , Cazadero                    ,38.50667,-123.06861,40, River Other,
MBBA3, R, Big Bend Wash             , Interstate 15               ,36.86528,-113.97,1941, River Other,
HKCC1, G, Big Chico Creek           , Chico                       ,39.76806,-121.77694,274, River Other, Big Chico Ck - Chico    
BCWC1, G, Big Creek                 , Whites Gulch                ,37.84194,-120.18389,2562, River Other,
BCJC1, G, Big Creek Diversion       , Fish Camp                   ,37.46944,-119.61417,4926, River Other,
BDWC1, G, Big Dalton Creek          , Merced Avenue               ,34.07472,-117.96361,335, River Other,
BDDC1, R, Big Dalton Wash           , Big Dalton Reservoir        ,34.17028,-117.80833,1587, Reservoir Reservoir,
DVSC1, G, Big Grizzly Creek         , Lake Davis                  ,39.88389,-120.47528,5768, Reservoir Reservoir,
LDFC1, G, Big Grizzly Creek         , Below Lake Davis            ,39.88306,-120.47611,5740, River Other,
BIXC1, G, Big River                 , Big Bend                    ,38.22972,-122.46333,30, River Other,
BPAC1, R, Big Rock Creek            , Pallet Creek                ,34.46056,-117.86111,3540, River Other,
BRQC1, G, Big Rock Creek            , Valyermo                    ,34.42083,-117.83861,4050, River Other,
BSRA3, R, Big Sandy River           , Interstate 40               ,35.16,-113.63694,3456, River Other,
MBSA3, R, Big Sandy River           , US Highway 93               ,34.66278,-113.58111,1866, River Other,
BSSN2, G, Big Springs South Channel , Baker                       ,38.69917,-114.13111,5576, River Other,
CDAC1, G, Big Sulpher Creek         , Geysers Resort              ,38.79778,-122.80139,1630, River Other,
BSCC1, G, Big Sulphur Creek         , Cloverdale                  ,38.82611,-122.99583,345, River Other,
BSRC1, G, Big Sur River             , Big Sur                     ,36.24583,-121.77222,240, River Other,
DREC1, G, Big Sur River             , Andrew Molera State Park    ,36.28667,-121.84944,10, River Other,
TJCC1, G, Big Tujunga Creek         , Below Hansen Dam            ,34.25361,-118.38806,900, River Other,
TJWC1, R, Big Tujunga Creek         , Below Hansen Dam            ,34.25361,-118.38805,950, River Other,
BTJC1, R, Big Tujunga Wash          , Big Tujunga Reservoir       ,34.29444,-118.18722,2315, Reservoir Reservoir,
BWSN2, G, Big Warm Spring           , Duckwater                   ,38.95028,-115.70333,5600, River Other,
MBWA3, R, Big Wash                  , US Highway 93               ,35.41222,-114.27083,3546, River Other,
BCCC1, G, Black Creek               , Copperopolis                ,37.96111,-120.61417,746, River Other,
BMDN2, R, Black Mountain            , Detention Basin             ,35.9875,-114.99472,2598, River Other,
BLQC1, G, Black Rascal Diversion    , Merced 5NE                  ,37.33278,-120.39445,200, River Other,
BKDC1, G, Blackwood Creek           , Tahoe City                  ,39.1075,-120.16111,6235, River Other,
BDDN2, R, Blue Diamond              , Detention Basin             ,36.03194,-115.31694,2975, River Other,
BDCN2, R, Blue Diamond Channel      , S Durango Drive             ,36.025,-115.28139,2740, River Other,
BFCC1, G, Bodfish Creek             , Whitehurst Road             ,37.00417,-121.66667,425, River Other,
BCEC1, R, Bolsa Chica Channel       , Westminster Avenue          ,33.75917,-118.04167,5, River Other,
BOKC1, G, Bonita Creek              , Irvine                      ,33.645,-117.86028,30, River Other,
BQUC1, R, Boquet Creek              , Urbandale Avenue            ,34.43103,-118.53314,1302, River Other,
BCQC1, G, Boreal Canal              , Mineral Hot Springs 8SE     ,35.47333,-118.47,5763, River Other,
BEHC1, G, Boreal Canal Syphon       , Lake Isabella               ,35.59306,-118.50305,2536, Reservoir Reservoir,
BHSC1, G, Borehole Spring Channel   , Tecopa                      ,35.88556,-116.23417,1340, River Other,
BPCC1, G, Borrego Palm Creek        , Borrego Springs             ,33.27917,-116.43056,1290, River Other,
BCKN2, G, Boulder Creek             , Dunphy                      ,40.95111,-116.44417,5010, River Other,
BSIC1, G, Bowman Spaulding Canal    , Intake                      ,39.43972,-120.65916,5390, River Other,
BSJC1, G, Bowman Spaulding Canal    , Jordan Creek Siphon - YB14  ,39.34222,-120.64056,5340, River Other,
BWFC1, G, Bowman Spaulding Canal    , Fuller                      ,39.34417,-120.64917,5343, River Other,
RUCC1, G, Bowman Spaulding Canal    , Rucker                      ,39.20583,-120.665,5350, River Other,
BDAC1, G, Brea Creek                , Brea Dam                    ,33.89056,-117.92389,208, Reservoir Reservoir,
BCDC1, R, Brea Creek                , Darlington Avenue           ,33.87778,-117.995,150, River Other,
BEDC1, G, Brea Creek                , Buena Park - Dale Street    ,33.8775,-117.98972,150, River Other,
BKBC1, G, Brea Creek                , Below Brea Dam              ,33.88778,-117.92556,197, River Other,
BVCC1, R, Browns Valley Creek       , McCormick Lane              ,38.30361,-122.33111,140, River Other,
BRON2, G, Bruneau River             , Rowland                     ,41.93333,-115.67361,4500, River Other,
BHKC1, G, Brush Creek               , Brush Creek Reservoir       ,38.81,-120.62,2923, Reservoir Reservoir,
CBSC1, G, Brush Creek               , Santa Rosa                  ,38.455,-122.67917,223, River Other,
USHC1, R, Brush Creek               , Badger Road                 ,38.48222,-122.67278,293, River Other,
BBMC1, G, Bryant Creek              , Below Mountaineer Creek     ,38.73583,-119.64444,6300, River Other,
BRYN2, G, Bryant Creek              , Gardnerville                ,38.79389,-119.67167,5446, River Other,
BCTC1, G, Buck - Loon Tunnel        , Buck Island Reservoir       ,39,-120.255,6425, Reservoir Reservoir,
BKIC1, G, Buckeye Creek             , Bridgeport                  ,38.23889,-119.325,6900, River Other,
WEOC1, G, Bull Creek                , Weott                       ,40.35139,-124.00278,269, River Other,
BNCC1, G, Burns Creek               , Burns Reservoir             ,37.37667,-120.275,319, Reservoir Reservoir,
BUBC1, G, Burns Creek               , Below Burns Dam - Planada   ,37.37333,-120.27778,275, River Other,
BBWC1, G, Butte Creek               , BW-12 Diversion             ,39.885,-121.59694,2882, River Other, Butte Ck - BW12 Divrsion
BCGC1, G, Butte Creek               , Gridley                     ,39.39806,-121.88611,65, River Other,
BDSC1, G, Butte Creek               , De Salba                    ,39.90139,-121.62611,1900, River Other,
BKCC1, G, Butte Creek               , Chico                       ,39.72611,-121.70778,320, River Other, Butte Ck - Chico        
BPDC1, G, Butte Creek               , Parrot Diversion            ,39.70861,-121.75472,369, River Other,
BTGC1, G, Butte Creek               , Colusa Road                 ,39.36167,-121.8925,60, River Other,
BWCC1, G, Butte Creek               , Western Canal               ,39.55806,-121.83306,204, River Other,
DRMC1, G, Butte Creek               , Durham                      ,39.67806,-121.77694,190, River Other, Butte Ck - Durham       
BSLC1, G, Butte Slough              , Meridian                    ,39.16806,-121.89111,13, River Other,
BSOC1, G, Butte Slough              , Outfall Gates               ,39.19528,-121.93667,50, River Other, Butte Slgh - Outfall Gat
CWSN2, G, C-1 Channel               , Warm Springs Road           ,36.04472,-114.95833,1840, River Other,
RMSC1, G, Cache Creek               , Rumsey                      ,38.89,-122.23806,400, River Forecast, Cache Ck - Rumsey       
YLOC1, G, Cache Creek               , Yolo                        ,38.72722,-121.80611,86, River Forecast,
CIBC1, G, Cache Creek               , Inflow to Settling Basin    ,38.72611,-121.72889,45, River Other, Cache Ck - Inflw Settlng 
CLFC1, G, Cache Creek               , Lower Lake                  ,38.92417,-122.56472,1280, River Other,
OTFC1, G, Cache Creek               , Outflow From Settling Basin ,38.67861,-121.67167,33, River Other,
OWSC1, G, Cache Creek               , Ovrflw Fm Weir Fm Stlg Basin,38.68278,-121.67194,49, River Other,
LYVC1, G, Cahto Creek               , Laytonville                 ,39.67167,-123.49722,1757, River Other, Cahto Ck - Laytonville  
CJKC1, G, Cajon Creek               , Keenbrook                   ,34.26333,-117.46611,2022, River Other,
KNBC1, G, Cajon Creek               , Keenbrook                   ,34.26695,-117.45917,2630, River Other,
CAAC1, R, Calabazas Creek           , Sunnyvale                   ,37.36667,-121.98639,56, River Other,
CCQC1, R, Calabazas Creek           , Rainbow Drive               ,37.30084,-122.02556,275, River Other,
CAVC1, G, Calaveras Creek           , Sunol                       ,37.49778,-121.81667,600, River Other, Calaveras Ck - Sunol    
NHGC1, G, Calaveras River           , New Hogan Lake              ,38.155,-120.81389,554, Reservoir Reservoir,
CADC1, G, Calero Creek              , Calero Reservoir            ,37.18333,-121.79111,490, Reservoir Reservoir,
CALC1, G, Calero Creek              , Below Calero Reservoir      ,37.18611,-121.79308,387, River Other,
CCNC1, G, Caliente Creek            , Caliente                    ,35.28861,-118.62806,1309, River Other,
CFWN2, R, California Wash #2        , Near SR78                   ,36.63667,-114.62556,1570, River Other,
CLLC1, R, Calleguas Creek           , CSU Channel Islands         ,34.17944,-119.03889,70, River Forecast,
CGUC1, R, Calleguas Creek           , Highway 101                 ,34.22111,-119.01444,152, River Other,
CLJC1, G, Calleguas Creek           , CSU Channel Islands Bridge  ,34.17944,-119.03889,70, River Other,
CAMN2, R, Cam-10                    , Detention Basin             ,36.26944,-115.34,2997, River Other,
CPOC1, G, Campo Creek               , Campo                       ,32.59111,-116.52472,2179, River Other,
LLLC1, R, Canada de Las Llajas      , Las Llajas Canyon Dam       ,34.30194,-118.68722,1240, River Other,
CXVC1, R, Canada Larga              , Ventura Avenue              ,34.33695,-119.29389,180, River Other,
CAOC1, R, Canoas Creek              , San Jose - Almaden Exprwy   ,37.28861,-121.88111,130, River Other,
DDVC1, G, Canoas Creek              , Dow Drive                   ,37.28028,-121.86889,141, River Other,
CAUC1, G, Cantua Creek              , Mount Whitney Avenue        ,36.43,-120.295,330, River Other,
COLC1, G, Cantua Creek              , Cantua                      ,36.40222,-120.4325,680, River Other,
CRKC1, G, Cantua Creek              , California Aqueduct         ,36.30472,-120.40222,675, River Other,
BWKC1, G, Canyon Creek              , Bowman Reservoir            ,39.45028,-120.6525,5575, Reservoir Reservoir,
FIEC1, G, Canyon Creek              , Faucherie Reservoir         ,39.42917,-120.56778,6150, Reservoir Reservoir,
FRKC1, G, Canyon Creek              , French Lake                 ,39.42111,-120.54112,6690, Reservoir Reservoir,
SWKC1, G, Canyon Creek              , Sawmill Reservoir           ,39.44556,-120.60056,5875, Reservoir Reservoir,
CBBC1, G, Canyon Creek              , Below Bowman Lake           ,39.43972,-120.66028,5100, River Other,
SWMC1, G, Canyon Creek              , Below Sawmill Lake          ,39.44556,-120.60139,5860, River Other,
CLQC1, R, Capell Creek              , Lake Berryessa              ,38.50389,-122.23834,490, River Other,
CPZC1, G, Caples Creek              , Caples Lake                 ,38.70861,-120.04916,7820, Reservoir Reservoir,
LHNC1, R, Capri Creek               , Casella Way                 ,38.26889,-122.63639,60, River Other,
CBDC1, G, Carbon Canyon Creek       , Carbon Canyon Dam           ,33.91528,-117.84,403, Reservoir Reservoir,
CBCC1, G, Carbon Creek              , Below Carbon Canyon Dam     ,33.91333,-117.84167,396, River Other,
CBKC1, G, Carbon Creek              , Los Alamitos                ,33.81528,-118.06445,25, River Other,
CKNC1, R, Carbon Creek Channel      , Laurel High School          ,33.81528,-118.06445,33, River Other,
CRYN2, R, Carey Ave - Lake Mead Blvd, Detention Basin             ,36.19806,-115.18083,2120, River Other,
RDRC1, G, Carmel River              , Robles Del Rio              ,36.47444,-121.72778,270, River Forecast,
MTEC1, R, Carmel River              , San Clemente Reservoir      ,36.43583,-121.70722,535, Reservoir Reservoir,
CMEC1, R, Carmel River              , Carmel                      ,36.53917,-121.87944,45, River Other,
CMRC1, R, Carmel River              , Highway 1                   ,36.53639,-121.91139,10, River Other,
CRMC1, R, Carmel River              , Lagoon                      ,36.53611,-121.92472,15, River Other,
LPRC1, R, Carmel River              , Los Padres Reservoir        ,36.38083,-121.66861,1058, River Other,
CCJC1, R, Carneros Creek            , Old Sonoma Road             ,38.25667,-122.34028,115, River Other, 
CPCC1, G, Carpinteria Creek         , Carpinteria                 ,34.40278,-119.48889,130, River Other,
NEZC1, G, Carquinez Strait          , Martinez                    ,38.02806,-122.13806,8, River Other, Carqnz Strait - Martinez
STWN2, G, Carson River              , Carson City                 ,39.10778,-119.71222,4620, River Forecast,
LHDN2, G, Carson River              , Lahontan Reservoir          ,39.4625,-119.06667,4162, Reservoir Reservoir,
CBLN2, G, Carson River              , Fallon                      ,39.46389,-119.04583,4040, River Other,
CDYN2, G, Carson River              , Dayton                      ,39.23778,-119.58722,4350, River Other,
CRGN2, G, Carson River              , Genoa                       ,39.0125,-119.83,4670, River Other,
CSCN2, G, Carson River              , Abv Sixmile Cyn Blo Dayton  ,39.28083,-119.525,4295, River Other,
DRRN2, G, Carson River              , Deer Run Road               ,39.18139,-119.695,4600, River Other,
FTCN2, G, Carson River              , Fort Churchill              ,39.29167,-119.31111,4215, River Other,
TRZN2, G, Carson River              , Fallon - Tarzyn Road        ,39.55889,-118.725,3900, River Other,
IVNC1, G, Caruthers Creek           , Ivanpah                     ,35.2425,-115.29944,5640, River Other,
EFBC1, G, Castaic Creek             , Elderberry Forebay          ,34.56278,-118.63277,1400, Reservoir Reservoir,
CYHC1, G, Castaic Creek             , Castaic Canyon              ,34.6061,-118.6655,1654, River Other,
CSKC1, G, Castaic Creek             , Castaic Lake                ,34.52278,-118.61195,1515, Reservoir Reservoir,
CVCC1, G, Castro Valley Creek       , Hayward                     ,37.68,-122.07944,100, River Other,
CDKC1, R, Cedar Creek               , Near State Highway 76       ,33.28667,-116.8508,2960, River Other,
DKCN2, R, Central Duck Creek        , Detention Basin             ,35.98195,-115.21445,2460, River Other,
CIVC1, G, Central Irvine Canal      , Irvine                      ,33.71611,-117.78944,80, River Other, 
CVHC1, R, Central Irvine Channel    , Below Culver Drive          ,33.71611,-117.78917,85, River Other,
MLIC0, G, Central Valley            , Water Resources Index       ,38.04278,-121.92,0, River Other,
RCVC1, G, Cherokee Canal            , Richvale                    ,39.465,-121.74194,106, River Other,
CHVC1, G, Cherry Creek              , Cherry Lake                 ,37.97472,-119.91611,4765, Reservoir Reservoir,
ACVC1, G, Cherry Creek              , Above Cherry Valley Dam     ,38.03139,-119.90139,4750, River Other, Cherry Ck - Abv Chry Vly
CEIC1, G, Cherry Creek              , Early Intake                ,37.89444,-119.96167,2272, River Other, Cherry Ck - Early Intake
CKMC1, G, Cherry Creek              , Mather                      ,37.89028,-119.96889,2150, River Other, Cherry Ck - Mather      
CVDC1, G, Cherry Creek              , Cherry Valley Dam           ,37.96778,-119.91639,4337, River Other, Cherry Ck - Cherry Vly D
CPBN2, R, Cheyenne Peaking          , Detention Basin             ,36.21972,-115.11278,1891, River Other,
ADWC1, R, Chicken Ranch Slough      , Alta Arden                  ,38.59833,-121.41306,38, River Other,
CBLC1, R, Chicken Ranch Slough      , Carmichael                  ,38.61417,-121.39722,50, River Other,
PVRC1, R, Chiles Creek              , Above Lake Hennessey        ,38.50778,-122.35556,327, River Other,
CCCC1, G, Chino Canyon Creek        , Palm Springs                ,33.84417,-116.60444,715, River Other,
CCKC1, R, Chino Creek               , Chino                       ,34.01194,-117.72972,715, River Other,
CHKC1, G, Chino Creek               , Chino - Schaefer Avenue     ,34.00389,-117.72611,695, River Other,
CHZC1, R, Chorro Creek              , Canet Road                  ,35.353,-120.7877,70, River Other,
CHBC1, G, Chowchilla Bypass         , Ripperdan                   ,36.77417,-120.28528,170, River Other,
